Program Time [s],Temp,Humid
2324.19,31.25,10
2325.19,31.25,10
2326.19,31.25,6
2327.19,30.76,4
2328.19,30.76,15
2329.19,31.25,21
2330.2,31.74,34
2331.2,31.74,38
2332.2,31.25,40
2333.2,31.25,41
2334.2,31.25,40
2335.2,31.74,39
2336.2,31.25,33
2337.2,31.25,29
2338.2,31.25,28
2339.21,30.76,26
2340.21,30.76,25
2341.21,30.76,25
2342.21,30.76,23
2343.21,30.76,22
2344.21,30.76,21
2345.21,30.76,21
2346.22,30.76,18
2347.21,30.76,21
2348.22,30.76,25
2349.22,30.76,19
2350.22,30.76,31
2351.22,30.76,20
2352.22,30.76,20
2353.22,31.25,21
2354.22,31.25,15
2355.23,30.76,12
2356.23,31.25,14
2357.22,31.25,18
2358.23,31.25,13
2359.23,30.76,11
2360.23,30.76,11
2361.23,30.76,12
2362.23,31.25,10
2363.23,30.76,10
2364.23,30.76,10
2365.24,30.76,10
2366.24,31.25,11
2367.24,31.25,11
2368.24,31.25,10
2369.24,31.25,9
2370.24,30.76,8
2371.24,31.25,11
2372.24,31.25,16
2373.24,31.25,16
2374.26,31.25,13
2375.25,31.25,14
2376.25,31.25,18
2377.25,31.25,14
2378.25,31.25,8
2379.25,31.25,15
2380.25,31.25,16
2381.25,31.25,8
2382.25,31.25,13
2383.26,31.25,18
2384.26,31.74,16
2385.26,31.25,7
2386.26,31.25,9
2387.26,31.74,19
2388.26,31.74,23
2389.26,31.25,16
2390.26,31.25,11
2391.26,31.25,17
2392.26,31.25,17
2393.27,31.25,19
2394.27,31.25,13
2395.27,30.76,12
2396.27,30.76,11
2397.27,31.25,12
2398.27,30.76,10
2399.27,30.76,9
2400.28,30.76,9
2401.27,30.76,10
2402.28,30.76,10
2403.28,30.76,9
2404.28,31.25,9
2405.28,30.76,10
2406.28,30.76,5
2407.28,30.76,6
2408.28,31.25,9
2409.29,30.76,10
2410.29,30.76,9
2411.28,30.76,8
2412.29,30.76,10
2413.29,31.25,9
2414.29,30.76,9
2415.29,30.76,9
2416.29,30.76,12
2417.29,31.25,17
2418.29,30.76,15
2419.3,31.25,15
2420.3,31.25,15
2421.3,30.76,13
2422.3,30.76,14
2423.3,30.76,12
2424.3,30.76,11
2425.3,30.76,11
2426.3,31.25,13
2427.3,31.25,18
2428.31,30.76,10
2429.31,30.76,11
2430.31,30.76,12
2431.31,31.25,13
2432.31,31.25,11
2433.31,30.76,10
2434.31,31.25,12
2435.31,31.25,14
2436.31,30.76,12
2437.31,30.76,9
2438.32,30.76,13
2439.32,31.25,24
2440.32,31.25,34
2441.32,31.74,39
2442.32,31.74,40
2443.32,31.74,41
2444.32,31.74,36
2445.32,31.74,35
2446.33,31.74,35
2447.33,31.74,33
2448.33,31.25,29
2449.33,31.25,28
2450.33,31.25,28
2451.33,31.25,29
2452.33,31.25,25
2453.34,30.76,24
2454.33,31.25,24
2455.33,30.76,23
2456.34,30.76,23
2457.34,30.76,23
2458.34,30.76,21
2459.34,30.76,18
2460.35,30.76,17
2461.34,30.76,15
2462.34,30.76,14
2463.35,30.76,12
2464.34,30.76,9
2465.35,30.76,11
2466.35,30.76,11
2467.35,31.25,10
2468.35,30.76,9
2469.35,31.25,20
2470.35,31.25,24
2471.35,31.25,23
2472.36,31.25,21
2473.36,31.25,16
2474.36,30.76,15
2475.36,31.25,15
2476.36,30.76,14
2477.36,30.76,11
2478.36,30.76,10
2479.36,30.76,10
2480.36,30.76,10
2481.37,31.25,10
2482.37,30.76,10
2483.37,30.76,12
2484.37,30.76,14
2485.37,30.76,13
2486.37,31.25,11
2487.37,30.76,11
2488.37,30.76,10
2489.37,31.25,12
2490.37,30.76,11
2491.38,30.76,9
2492.38,30.76,10
2493.38,30.76,9
2494.38,30.76,9
2495.38,30.76,9
2496.38,30.76,10
2497.39,31.25,12
2498.38,31.25,10
2499.38,31.25,10
2500.38,30.76,9
2501.39,30.76,9
2502.39,30.76,13
2503.39,30.76,13
2504.39,30.76,10
2505.39,30.76,10
2506.39,30.76,7
2507.4,30.76,10
2508.39,30.76,7
2509.39,31.25,7
2510.4,31.25,9
2511.4,31.25,8
2512.4,31.25,10
2513.4,30.76,9
2514.4,30.76,8
2515.4,31.25,11
2516.4,30.76,9
2517.41,30.76,9
2518.4,31.25,8
2519.41,31.25,12
2520.41,31.25,17
2521.41,30.76,13
2522.41,30.76,12
2523.41,31.25,26
2524.41,31.25,32
2525.41,31.25,30
2526.42,31.25,27
2527.42,31.25,35
2528.42,31.74,38
2529.42,31.74,25
2530.42,31.74,28
2531.42,31.74,30
2532.42,31.74,24
2533.42,31.25,19
2534.42,30.76,18
2535.43,31.25,21
2536.43,31.25,17
2537.43,30.76,11
2538.43,30.76,12
